x,result
-5.0,0.41958150029924485
-4.9,0.2491182283553223
-4.800000000000001,0.10211458993595281
-4.700000000000001,-0.012079129405069904
-4.600000000000001,-0.08567240815847398
-4.500000000000002,-0.11371571320129667
-4.400000000000002,-0.09483399564705303
-4.3000000000000025,-0.03118541532968338
-4.200000000000003,0.07223028351000484
-4.100000000000003,0.20859674288915928
-4.0000000000000036,0.3703030090896588
-3.9000000000000035,0.5497863072995408
-3.8000000000000034,0.7401128068724522
-3.7000000000000033,0.9353638171022846
-3.600000000000003,1.1309130068565494
-3.500000000000003,1.3236728881873605
-3.400000000000003,1.5124319346074877
-3.300000000000003,1.698368735278714
-3.200000000000003,1.8860212900955589
-3.1000000000000028,2.0851581001526727
-3.0000000000000027,2.3148152819743055
-2.9000000000000026,2.6130413144983096
-2.8000000000000025,3.064749396424589
-2.7000000000000024,3.9040936770176176
-2.6000000000000023,6.110019739607808
-2.500000000000002,26.50295989777033
-2.400000000000002,-7.36599915014072
-2.300000000000002,-2.673457189624417
-2.200000000000002,-1.432550976233148
-2.100000000000002,-0.8804456529868946
-2.0000000000000018,-0.5761302535611937
-1.9000000000000017,-0.38307371189590217
-1.8000000000000016,-0.24427283442291164
-1.7000000000000015,-0.131462362645347
-1.6000000000000014,-0.029225541830733743
-1.5000000000000013,0.07105595949276325
-1.4000000000000012,0.17378838170319927
-1.3000000000000012,0.2802939365663055
-1.200000000000001,0.3891018022231001
-1.100000000000001,0.49533508046633973
-1.0000000000000009,0.5880302722195668
-0.9000000000000009,0.639656093159788
-0.8000000000000009,0.5474223835304359
-0.700000000000001,-0.9725050274204976
-0.600000000000001,2.5274626743971096
-0.500000000000001,1.9720254443424194
-0.400000000000001,1.91533536773217
-0.30000000000000104,1.9340553401821508
-0.20000000000000104,1.9657298442914892
-0.10000000000000103,1.990593512281205
-1.0269562977782698E-15,NaN
0.09999999999999898,1.0978291083843594
0.19999999999999898,0.06226892903072429
0.299999999999999,0.009880431917431744
0.399999999999999,0.09029858947156187
0.499999999999999,0.19343517714313543
0.599999999999999,0.3181093877686194
0.699999999999999,0.562156033353765
0.7999999999999989,23.206400408375035
0.8999999999999989,-0.2237834159596398
0.9999999999999989,NaN
1.099999999999999,0.07413270194013663
1.199999999999999,0.10817480102909392
1.2999999999999992,0.12460740007330925
1.3999999999999992,0.13141383247298133
1.4999999999999993,0.13233404954480038
1.5999999999999994,0.12944202634722346
1.6999999999999995,0.12402109874753692
1.7999999999999996,0.11692596387365982
1.8999999999999997,0.10875532633357919
1.9999999999999998,0.09994349814922256
2.0999999999999996,0.09081337390019564
2.1999999999999997,0.08160928607675484
2.3,0.07251820039197196
2.4,0.06368426551710231
2.5,0.05521915990703168
2.6,0.04720927790086614
2.7,0.039721393328205824
2.8000000000000003,0.03280666450939697
2.9000000000000004,0.02650384034790203
3.0000000000000004,0.020841780403720443
3.1000000000000005,0.015841287994359163
3.2000000000000006,0.011516684680178767
3.3000000000000007,0.007877077304487758
3.400000000000001,0.004927266115009266
3.500000000000001,0.0026685821360733592
3.600000000000001,0.0010995575435320429
3.700000000000001,2.1641213070721876E-4
3.800000000000001,1.3519164769891902E-5
3.9000000000000012,4.837606223721176E-4
4.000000000000001,0.00161882280803061
4.1000000000000005,0.0034094354207356843
4.2,0.005845589759582636
4.3,0.008916711714913485
4.3999999999999995,0.012611769028770927
4.499999999999999,0.016919436005435797
4.599999999999999,0.021828181746970782
4.699999999999998,0.02732629779996201
4.799999999999998,0.033402046559025345
4.899999999999998,0.040043693435428386
4.999999999999997,0.04723947968247543
